ResultID,RaceID,DriverID,TeamID,Pos,Points,Standings,LapTime
2028,103,12,MER,NULL,0,DNF,NULL
2029,103,6,AT,NULL,0,DNF,NULL
2030,103,5,SAU,NULL,0,DNF,NULL
2031,103,30,AT,NULL,0,DNF,NULL
2032,103,43,ALP,NULL,0,DNS,NULL
2033,104,19,MCL,1,25,Finished,01:25:22.601
2034,104,16,MCL,2,18,Finished,+3.415
2035,104,12,FER,3,15,Finished,+20.185
2036,104,10,RBR,4,12,Finished,+21.731
2037,104,22,MER,5,10,Finished,+34.863
2038,104,1,WIL,6,8,Finished,+39.926
2039,104,11,FER,7,6,Finished,+40.679
2040,104,30,AT,8,4,Finished,+52.033
2041,104,5,SAU,9,2,Finished,+56.434
2042,104,8,ALP,10,1,Finished,+72.714
2043,104,50,HAS,11,0,Finished,+73.145
2044,104,13,SAU,12,0,Finished,+73.628
