ResultID,RaceID,DriverID,TeamID,Pos,Points,Standings,LapTime
1599,82,17,RBR,6,8,Finished,+39.542
1600,82,22,MER,7,6,Finished,+44.617
1601,82,11,MER,8,4,Finished,+49.599
1602,82,8,ALP,9,2,Finished,+1 Lap
1603,82,25,AMR,10,1,Finished,+1 Lap
1604,82,13,HAS,11,0,Finished,+1 Lap
1605,82,3,AT,12,0,Finished,+1 Lap
1606,82,26,AMR,13,0,Finished,+1 Lap
1607,82,1,WIL,14,0,Finished,+1 Lap
1608,82,24,ALP,15,0,Finished,+1 Lap
1609,82,28,WIL,16,0,Finished,+1 Lap
1610,82,23,AT,17,0,Finished,+1 Lap
1611,82,15,HAS,18,0,Finished,+1 Lap
1612,82,18,SAU,19,0,Finished,+2 Laps
1613,82,27,SAU,20,0,Finished,+2 Laps
1614,83,12,FER,1,25,Finished,01:14:40.727
1615,83,19,MCL,2,18,Finished,+2.664
1616,83,16,MCL,3,16,Finished,+6.153
1617,83,21,FER,4,12,Finished,+15.621
1618,83,11,MER,5,10,Finished,+22.820
1619,83,10,RBR,6,8,Finished,+37.932
1620,83,22,MER,7,6,Finished,+39.715
1621,83,17,RBR,8,4,Finished,+54.148
1622,83,1,WIL,9,2,Finished,+67.456
1623,83,15,HAS,10,1,Finished,+68.302
1624,83,25,AMR,11,0,Finished,+68.495
1625,83,43,WIL,12,0,Finished,+81.308
1626,83,3,AT,13,0,Finished,+93.452
1627,83,24,ALP,14,0,Finished,+1 Lap
1628,83,8,ALP,15,0,Finished,+1 Lap
1629,83,18,SAU,16,0,Finished,+1 Lap
1630,83,13,HAS,17,0,Finished,+1 Lap
1631,83,27,SAU,18,0,Finished,+1 Lap
1632,83,26,AMR,19,0,Finished,+1 Lap
1633,83,23,AT,NULL,0,DNF,NULL
1634,84,19,MCL,1,25,Finished,01:32:58.007
1635,84,12,FER,2,18,Finished,+10.910
1636,84,22,MER,3,15,Finished,+31.328
1637,84,16,MCL,4,13,Finished,+36.143
1638,84,10,RBR,5,10,Finished,+77.098
1639,84,25,AMR,6,8,Finished,+85.468
1640,84,1,WIL,7,6,Finished,+87.396
1641,84,43,WIL,8,4,Finished,+89.541
1642,84,11,MER,9,2,Finished,+92.401
1643,84,50,HAS,10,1,Finished,+93.127
1644,84,13,HAS,11,0,Finished,+93.465
1645,84,8,ALP,12,0,Finished,+117.189
1646,84,3,AT,13,0,Finished,+146.907
1647,84,27,SAU,14,0,Finished,+148.841
1648,84,24,ALP,15,0,Finished,+1 Lap
1649,84,18,SAU,16,0,Finished,+1 Lap
1650,84,17,RBR,17,0,DNF,NULL
1651,84,21,FER,18,0,DNF,NULL
1652,84,26,AMR,19,0,DNF,NULL
1653,84,23,AT,NULL,0,DNF,NULL
1654,85,16,MCL,1,25,Finished,01:40:52.571
1655,85,10,RBR,2,18,Finished,+20.945
1656,85,19,MCL,3,15,Finished,+41.823
1657,85,22,MER,4,12,Finished,+61.040
1658,85,12,FER,5,10,Finished,+62.430
1659,85,11,MER,6,8,Finished,+85.248
1660,85,21,FER,7,6,Finished,+96.039
1661,85,25,AMR,8,4,Finished,+1 Lap
1662,85,13,HAS,9,2,Finished,+1 Lap
1663,85,17,RBR,10,1,Finished,+1 Lap
1664,85,43,WIL,11,0,Finished,+1 Lap
1665,85,23,AT,12,0,Finished,+1 Lap
1666,85,24,ALP,13,0,Finished,+1 Lap
1667,85,26,AMR,14,0,Finished,+1 Lap
1668,85,27,SAU,15,0,Finished,+1 Lap
1669,85,18,SAU,16,0,Finished,+1 Lap
1670,85,8,ALP,17,0,Finished,+1 Lap
1671,85,3,AT,18,0,Finished,+1 Lap
1672,85,15,HAS,19,0,DNF,NULL
1673,85,1,WIL,NULL,0,DNF,NULL
1674,86,12,FER,1,25,Finished,01:35:09.639
1675,86,21,FER,2,18,Finished,+8.562
